"Cart Page Display","Cart Page Display"
"Cart Box","Cart Box"
"Enable Cart Box","Enable Cart Box"
"Enable ""Others also bought"" box on cart page views.","Enable ""Others also bought"" box on cart page views."
"Cart Box Layout","Cart Box Layout"
"Select where ""Others also bought"" box should be shown on cart page views.","Select where ""Others also bought"" box should be shown on cart page views."
"Cart Box Title","Cart Box Title"
"""Others also bought"" box title on cart page views.","""Others also bought"" box title on cart page views."
"Cart Box Product Count","Cart Box Product Count"
"Number of items show in ""Others also bought"" box on cart page views. This number must be between 1 and 10.","Number of items show in ""Others also bought"" box on cart page views. This number must be between 1 and 10."
"Synchronization","Synchronization"
"Enable Gravity Customer Update","Enable Gravity Customer Update"
"If customer is saved in backend it will be updated in Gravity.","If customer is saved in backend it will be updated in Gravity."
"Enable Gravity Product Update","Enable Gravity Product Update"
"If product is saved in backend it will be updated in Gravity.","If product is saved in backend it will be updated in Gravity."
"Enable Gravity Customer Registration","Enable Gravity Customer Registration"
"If customer is registered on frontend it will be added in Gravity.","If customer is registered on frontend it will be added in Gravity."
"Debug","Debug"
"Enable debug. In this case all transactions will be logged in /var/gravity.log.","Enable debug. In this case all transactions will be logged in /var/gravity.log."
"Left Sidebar","Left Sidebar"
"Bottom of Content","Bottom of Content"
"Right Sidebar","Right Sidebar"
